rank,code,name,country,birthdate
1,ArynaSabalenka,Aryna Sabalenka,BLR,1998-05-05
2,ElenaRybakina,Elena Rybakina,KAZ,1999-06-17
3,JessicaPegula,Jessica Pegula,USA,1994-02-24
4,CocoGauff,Coco Gauff,USA,2004-03-13
5,MirraAndreeva,Mirra Andreeva,RUS,2007-04-29
6,LindaNoskova,Linda Noskova,CZE,2004-11-17
7,KarolinaMuchova,Karolina Muchova,CZE,1996-08-21
8,IgaSwiatek,Iga Swiatek,POL,2001-05-31
9,ElinaSvitolina,Elina Svitolina,UKR,1994-09-12
10,AmandaAnisimova,Amanda Anisimova,USA,2001-08-31
11,MartaKostyuk,Marta Kostyuk,UKR,2002-06-28
12,BelindaBencic,Belinda Bencic,SUI,1997-03-10
13,NaomiOsaka,Naomi Osaka,JPN,1997-10-16
14,IvaJovic,Iva Jovic,USA,2007-12-06
15,VictoriaMboko,Victoria Mboko,CAN,2006-08-26
16,DianaShnaider,Diana Shnaider,RUS,2004-04-02
17,SoranaCirstea,Sorana Cirstea,ROU,1990-04-07
18,AlexandraEala,Alexandra Eala,PHI,2005-05-23
19,EkaterinaAlexandrova,Ekaterina Alexandrova,RUS,1994-11-15
20,JasminePaolini,Jasmine Paolini,ITA,1996-01-04
21,MajaChwalinska,Maja Chwalinska,POL,2001-10-11
22,AnnaKalinskaya,Anna Kalinskaya,RUS,1998-12-02
23,MadisonKeys,Madison Keys,USA,1995-02-17
24,EliseMertens,Elise Mertens,BEL,1995-11-17
25,AnastasiaPotapova,Anastasia Potapova,RUS,2001-03-30
26,MarieBouzkova,Marie Bouzkova,CZE,1998-07-21
27,EmmaNavarro,Emma Navarro,USA,2001-05-18
28,BarboraKrejcikova,Barbora Krejcikova,CZE,1995-12-18
29,SaraBejlek,Sara Bejlek,CZE,2006-01-31
30,AnnLi,Ann Li,USA,2000-06-26
31,JelenaOstapenko,Jelena Ostapenko,LAT,1997-06-08
32,LeylahFernandez,Leylah Fernandez,CAN,2002-09-06
33,MariaSakkari,Maria Sakkari,GRE,1995-07-25
34,HaileyBaptiste,Hailey Baptiste,USA,2001-11-03
35,JaniceTjen,Janice Tjen,INA,2002-05-06
36,DonnaVekic,Donna Vekic,CRO,1996-06-28
37,MagdalenaFrech,Magdalena Frech,POL,1997-12-15
38,NikolaBartunkova,Nikola Bartunkova,CZE,2006-02-25
39,KaterinaSiniakova,Katerina Siniakova,CZE,1996-05-10
40,CristinaBucsa,Cristina Bucsa,ESP,1998-01-01
41,XinYuWang,Xin Yu Wang,CHN,2001-09-26
42,ClaraTauson,Clara Tauson,DEN,2002-12-21
43,JaquelineCristian,Jaqueline Cristian,ROU,1998-06-05
44,DariaSnigur,Daria Snigur,UKR,2002-03-27
45,LiudmilaSamsonova,Liudmila Samsonova,RUS,1998-11-11
46,OleksandraOliynykova,Oleksandra Oliynykova,UKR,2001-01-03
47,TamaraKorpatsch,Tamara Korpatsch,GER,1995-05-12
48,LilliTagger,Lilli Tagger,AUT,2008-02-17
49,AnhelinaKalinina,Anhelina Kalinina,UKR,1997-02-07
50,DianeParry,Diane Parry,FRA,2002-09-01
51,MayarSherif,Mayar Sherif,EGY,1996-05-05
52,ZeynepSonmez,Zeynep Sonmez,TUR,2002-04-30
53,ShuaiZhang,Shuai Zhang,CHN,1989-01-21
54,PeytonStearns,Peyton Stearns,USA,2001-10-08
55,ViktorijaGolubic,Viktorija Golubic,SUI,1992-10-16
56,KarolinaPliskova,Karolina Pliskova,CZE,1992-03-21
57,TerezaValentova,Tereza Valentova,CZE,2007-02-20
