rank,code,name,country,birthdate
1,ArynaSabalenka,Aryna Sabalenka,BLR,1998-05-05
2,ElenaRybakina,Elena Rybakina,KAZ,1999-06-17
3,JessicaPegula,Jessica Pegula,USA,1994-02-24
4,CocoGauff,Coco Gauff,USA,2004-03-13
5,IgaSwiatek,Iga Swiatek,POL,2001-05-31
6,MirraAndreeva,Mirra Andreeva,RUS,2007-04-29
7,KarolinaMuchova,Karolina Muchova,CZE,1996-08-21
8,LindaNoskova,Linda Noskova,CZE,2004-11-17
9,ElinaSvitolina,Elina Svitolina,UKR,1994-09-12
10,AmandaAnisimova,Amanda Anisimova,USA,2001-08-31
11,MartaKostyuk,Marta Kostyuk,UKR,2002-06-28
12,BelindaBencic,Belinda Bencic,SUI,1997-03-10
13,NaomiOsaka,Naomi Osaka,JPN,1997-10-16
14,DianaShnaider,Diana Shnaider,RUS,2004-04-02
15,JasminePaolini,Jasmine Paolini,ITA,1996-01-04
16,IvaJovic,Iva Jovic,USA,2007-12-06
17,VictoriaMboko,Victoria Mboko,CAN,2006-08-26
18,EkaterinaAlexandrova,Ekaterina Alexandrova,RUS,1994-11-15
19,SoranaCirstea,Sorana Cirstea,ROU,1990-04-07
20,AlexandraEala,Alexandra Eala,PHI,2005-05-23
21,AnnaKalinskaya,Anna Kalinskaya,RUS,1998-12-02
22,EliseMertens,Elise Mertens,BEL,1995-11-17
23,MajaChwalinska,Maja Chwalinska,POL,2001-10-11
24,MadisonKeys,Madison Keys,USA,1995-02-17
25,AnastasiaPotapova,Anastasia Potapova,RUS,2001-03-30
26,BarboraKrejcikova,Barbora Krejcikova,CZE,1995-12-18
27,MarieBouzkova,Marie Bouzkova,CZE,1998-07-21
28,EmmaNavarro,Emma Navarro,USA,2001-05-18
29,AnnLi,Ann Li,USA,2000-06-26
30,JelenaOstapenko,Jelena Ostapenko,LAT,1997-06-08
31,LeylahFernandez,Leylah Fernandez,CAN,2002-09-06
32,MariaSakkari,Maria Sakkari,GRE,1995-07-25
33,HaileyBaptiste,Hailey Baptiste,USA,2001-11-03
34,DonnaVekic,Donna Vekic,CRO,1996-06-28
35,SaraBejlek,Sara Bejlek,CZE,2006-01-31
36,XinYuWang,Xin Yu Wang,CHN,2001-09-26
37,JaniceTjen,Janice Tjen,INA,2002-05-06
38,CristinaBucsa,Cristina Bucsa,ESP,1998-01-01
39,NikolaBartunkova,Nikola Bartunkova,CZE,2006-02-25
40,JaquelineCristian,Jaqueline Cristian,ROU,1998-06-05
41,MagdalenaFrech,Magdalena Frech,POL,1997-12-15
42,ClaraTauson,Clara Tauson,DEN,2002-12-21
43,LiudmilaSamsonova,Liudmila Samsonova,RUS,1998-11-11
44,KaterinaSiniakova,Katerina Siniakova,CZE,1996-05-10
45,DariaSnigur,Daria Snigur,UKR,2002-03-27
46,OleksandraOliynykova,Oleksandra Oliynykova,UKR,2001-01-03
47,TamaraKorpatsch,Tamara Korpatsch,GER,1995-05-12
48,LilliTagger,Lilli Tagger,AUT,2008-02-17
49,MayarSherif,Mayar Sherif,EGY,1996-05-05
50,ZeynepSonmez,Zeynep Sonmez,TUR,2002-04-30
51,AnhelinaKalinina,Anhelina Kalinina,UKR,1997-02-07
52,ViktorijaGolubic,Viktorija Golubic,SUI,1992-10-16
53,PeytonStearns,Peyton Stearns,USA,2001-10-08
54,ShuaiZhang,Shuai Zhang,CHN,1989-01-21
55,CamilaOsorio,Camila Osorio,COL,2001-12-22
56,AshlynKrueger,Ashlyn Krueger,USA,2004-05-07
57,KarolinaPliskova,Karolina Pliskova,CZE,1992-03-21
